postcode, local_authority_code
SE29HA, E09000004
SE29HA,E09000004
SE182UQ,E09000011
SE185QU,E09000011
SE181JX,E09000011
SE288RD,E09000011
,
SE280GB,E09000011
SE100JU,E09000011
SE182NB,E09000011
DA74SS,E09000004
DA74AX,E09000004
DA161TU,E09000004
DA161AB,E09000004
SE187BZ,E09000011
SE186HT,E09000011
DA76SL,E09000004
DA161AX,E09000004
DA163AA,E09000004
SE185EF,E09000011
DA53DF,E09000004
SE109NE,E09000011
SE181SL,E09000011
SE186QW,E09000011
SE137QD,E09000023
SE83NU,E09000023
SE108SU,E09000011
SE183EY,E09000011
SE20PB,E09000011
SE64BD,E09000023
SE108TY,E09000011
E162PW,E09000025
SE167EJ,E09000023
DA144AJ,E09000004
RM107AF,E09000002
DA184BT,E09000004
DA144HJ,E09000004
SE93TB,E09000011
DA175EA,E09000004
BR15RT,E09000023
E27JD,E09000012
SE181PR,E09000011
DA81GL,E09000004
DA15UQ,E07000107
E145AX,E09000030
RM70EN,E09000016
E16AN,E09000001
E147GE,E09000030
E63PG,E09000025
BR51LG,E09000006
DA163HE,E09000004
IG26HA,E09000026
E27NX,E09000012
SE185LW,E09000011
IG11NH,E09000026
E29FN,E09000030
W36AH,E09000009
W45DG,E09000009
W36BY,E09000009
W45YA,E09000018
NW107JH,E09000009
W36ND,E09000009
W128EN,E09000013
W45TT,E09000018
W128HD,E09000013
W51AB,E09000009
W36DH,E09000009
W36AX,E09000009
W45NE,E09000009
W36EG,E09000009
W140HA,E09000013
W93BL,E09000033
SW62DA,E09000013
SW64LZ,E09000013
W91PE,E09000033
W36PJ,E09000009
W87JB,E09000020
NW107LQ,E09000009
W41PD,E09000018
SW50RA,E09000020
W149NL,E09000013
NW67RL,E09000005
HA98HP,E09000005
W39BY,E09000009
SW59AS,E09000020
W105NE,E09000020
SW31NZ,E09000020
W26BD,E09000033
W1G6BP,E09000033
NW80RH,E09000007
SW184GN,E09000032
SW1X7LY,E09000033
NW23UQ,E09000005
W1K5QS,E09000033
NW23QG,E09000007
W1H4JP,E09000033
NW118DY,E09000003
NW66PB,E09000005
SW61HH,E09000013
W1U7ES,E09000033
SW1W9QN,E09000033
W1W6AB,E09000033
TW77EL,E09000018
NW118TN,E09000003
W37DD,E09000009
W1T2QH,E09000007
W1T1HR,E09000033
W1W8AW,E09000033
W1W7QQ,E09000033
SW31HW,E09000020
W1S1BN,E09000033
